Point,Date,Data,Max,Min,Rain
1,Mar-17,Study,10,5,55.1
2,Apr-17,Study,10,5,10.28
3,May-17,Study,15,8,36.11
4,Jun-17,Study,16,11,80.53
5,Jul-17,Study,18,12,50.98
6,Aug-17,Study,17,13,49.42
7,Sep-17,Study,15,11,57.65
8,Oct-17,Study,14,11,62.47
9,Nov-17,Study,9,6,55.34
10,Dec-17,Study,7,4,25.74
11,Jan-18,Study,7,4,56.6
12,Feb-18,Study,5,2,25.99
13,Mar-18,Study,7,3,34.78
1,Mar-17,Historic,10.3,2.9,77
2,Apr-17,Historic,13.2,4.3,58.5
3,May-17,Historic,16.6,6.9,61.6
4,Jun-17,Historic,18.9,9.8,69.4
5,Jul-17,Historic,20.7,12.1,72.6
6,Aug-17,Historic,20.4,11.8,94.8
7,Sep-17,Historic,18,9.7,91.9
8,Oct-17,Historic,14.3,7.2,120.4
9,Nov-17,Historic,10.5,4,108.3
10,Dec-17,Historic,7.9,1.5,112.7
11,Jan-18,Historic,7.6,1.6,96.8
12,Feb-18,Historic,8.1,1.5,69.9
13,Mar-18,Historic,10.3,2.9,77
